"item","file","source","status"
"strucchange","references/jss/strucchange/strucchange-intro.Rnw","github.com/cran/strucchange/vignettes/strucchange-intro.Rnw","fallback: strucchange-intro.Rnw (JSS paper source, vignette)"
"strucchange","references/jss/strucchange/strucchange-intro.R","github.com/cran/strucchange/inst/doc/strucchange-intro.R","fallback: strucchange-intro.R (JSS paper code, vignette)"
"strucchange","references/jss/strucchange/strucchange-intro.pdf","github.com/cran/strucchange/inst/doc/strucchange-intro.pdf","fallback: strucchange-intro.pdf (JSS paper, vignette build)"
"strucchange",NA,"https://doi.org/10.18637/jss.v007.i02","official replication archive NOT downloaded (jstatsoft.org unreachable); rerun where it is reachable"
"changepoint",NA,"https://doi.org/10.18637/jss.v058.i03","official replication archive NOT downloaded (jstatsoft.org unreachable); rerun where it is reachable"
"ecp","references/jss/ecp/ecp.pdf","github.com/cran/ecp/inst/doc/ecp.pdf","fallback: ecp.pdf (JSS paper, vignette)"
"ecp",NA,"https://doi.org/10.18637/jss.v062.i07","official replication archive NOT downloaded (jstatsoft.org unreachable); rerun where it is reachable"
"MSGARCH","references/jss/MSGARCH/v91i04.R","github.com/keblu/MSGARCH/Examples/JSS/v91i04.R","fallback: v91i04.R (authors' JSS replication script)"
"MSGARCH","references/jss/MSGARCH/v91i04-timing.R","github.com/keblu/MSGARCH/Examples/JSS/v91i04-timing.R","fallback: v91i04-timing.R (authors' JSS timing script)"
"MSGARCH",NA,"https://doi.org/10.18637/jss.v091.i04","official replication archive NOT downloaded (jstatsoft.org unreachable); rerun where it is reachable"
"tvgarch",NA,"https://doi.org/10.18637/jss.v108.i09","official replication archive NOT downloaded (jstatsoft.org unreachable); rerun where it is reachable"
"DChaos","references/rjournal/RJ-2021-036/RJ-2021-036.pdf","https://raw.githubusercontent.com/rjournal/rjournal.github.io/master/_articles/RJ-2021-036/RJ-2021-036.pdf","downloaded"
"DChaos","references/rjournal/RJ-2021-036/RJ-2021-036.zip","https://raw.githubusercontent.com/rjournal/rjournal.github.io/master/_articles/RJ-2021-036/RJ-2021-036.zip","downloaded"
"DChaos","references/rjournal/RJ-2021-036/sandubete-escot.R","RJ-2021-036.zip","extracted replication script"
"EGX annual report 2024","references/egx/DiscDoc_ID50300_31-Dec-2024_ENG.pdf","Google Drive SVR_Profile/EGX30_Report (user-supplied)","retrieved; figures checked against data (2024 peak 33,382.51 on 11 Mar; 2024 growth 19.47%)"
